Voltage (V),Ring Order,Inside Diameter (cm),Outside Diameter (cm),Inside Horizontal(cm),Outside Horizontal (cm),Filtering Voltage (A),lambda_nm,lambda_unc_nm,Radius_avg_cm,Radius_unc_cm,theta_val_rad,theta_unc_rad
2900,1st Order,1.6000e+00,1.8000e+00,1.6000e+00,1.8000e+00,4.2000e-01,2.2774e-02,3.9266e-04,1.7000e+00,1.1547e-01,6.0286e-02,3.9136e-03
2900,2nd Order,2.7000e+00,2.9000e+00,2.7000e+00,2.9000e+00,4.2000e-01,2.2774e-02,3.9266e-04,2.8000e+00,1.1547e-01,9.8047e-02,3.7888e-03
3200,1st Order,1.4000e+00,1.6000e+00,1.3000e+00,1.5000e+00,4.2000e-01,2.1680e-02,3.3876e-04,1.4500e+00,1.1902e-01,5.1521e-02,4.0727e-03
3200,2nd Order,2.6000e+00,2.8000e+00,2.3000e+00,2.5000e+00,4.2000e-01,2.1680e-02,3.3876e-04,2.5500e+00,1.4434e-01,8.9605e-02,4.4343e-03
3500,1st Order,1.3000e+00,1.5000e+00,1.3000e+00,1.5000e+00,4.2000e-01,2.0730e-02,2.9615e-04,1.4000e+00,1.1547e-01,4.9762e-02,3.9713e-03
3500,2nd Order,2.4000e+00,2.6000e+00,2.3000e+00,2.5000e+00,4.2000e-01,2.0730e-02,2.9615e-04,2.4500e+00,1.1902e-01,8.6202e-02,3.8782e-03
3800,1st Order,1.3000e+00,1.5000e+00,1.2000e+00,1.4000e+00,4.2000e-01,1.9895e-02,2.6178e-04,1.3500e+00,1.1902e-01,4.8001e-02,4.0937e-03
3800,2nd Order,2.3000e+00,2.5000e+00,2.2000e+00,2.4000e+00,4.2000e-01,1.9895e-02,2.6178e-04,2.3500e+00,1.1902e-01,8.2786e-02,3.8917e-03
3900,1st Order,1.2000e+00,1.4000e+00,1.2000e+00,1.4000e+00,4.2000e-01,1.9639e-02,2.5178e-04,1.3000e+00,1.1547e-01,4.6238e-02,3.9899e-03
3900,2nd Order,2.3000e+00,2.5000e+00,2.2000e+00,2.4000e+00,4.2000e-01,1.9639e-02,2.5178e-04,2.3500e+00,1.1902e-01,8.2786e-02,3.8917e-03
4000,1st Order,1.3000e+00,1.5000e+00,1.2000e+00,1.4000e+00,4.2000e-01,1.9391e-02,2.4239e-04,1.3500e+00,1.1902e-01,4.8001e-02,4.0937e-03
4000,2nd Order,2.3000e+00,2.5000e+00,2.3000e+00,2.5000e+00,4.2000e-01,1.9391e-02,2.4239e-04,2.4000e+00,1.1547e-01,8.4496e-02,3.8021e-03
4100,1st Order,1.2000e+00,1.4000e+00,1.2000e+00,1.4000e+00,4.2000e-01,1.9154e-02,2.3358e-04,1.3000e+00,1.1547e-01,4.6238e-02,3.9899e-03
4100,2nd  Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.9154e-02,2.3358e-04,2.2500e+00,1.1902e-01,7.9356e-02,3.9074e-03
4300,1st Order,1.2000e+00,1.4000e+00,1.1000e+00,1.3000e+00,4.2000e-01,1.8703e-02,2.1747e-04,1.2500e+00,1.1902e-01,4.4474e-02,4.1140e-03
4300,2nd  Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.8703e-02,2.1747e-04,2.2500e+00,1.1902e-01,7.9356e-02,3.9074e-03
4600,1st Order,1.2000e+00,1.4000e+00,1.1000e+00,1.3000e+00,4.2000e-01,1.8083e-02,1.9655e-04,1.2500e+00,1.1902e-01,4.4474e-02,4.1140e-03
4600,2nd  Order,2.2000e+00,2.4000e+00,2.1000e+00,2.3000e+00,4.2000e-01,1.8083e-02,1.9655e-04,2.2500e+00,1.1902e-01,7.9356e-02,3.9074e-03
5000,1st Order,1.1000e+00,1.3000e+00,1.1000e+00,1.3000e+00,4.2000e-01,1.7344e-02,1.7344e-04,1.2000e+00,1.1547e-01,4.2708e-02,4.0078e-03
5000,2nd  Order,2.0000e+00,2.2000e+00,2.0000e+00,2.2000e+00,4.2000e-01,1.7344e-02,1.7344e-04,2.1000e+00,1.1547e-01,7.4188e-02,3.8415e-03
